stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
49.362467,54550,-123.098087,4602,,,,Northbound Cliffridge Ave @ Sonora Dr North,0,BUS ZN
49.361893,54551,-123.094899,4603,,,,Eastbound Ranger Ave @ Malaspina Place,0,BUS ZN
49.360008,54549,-123.100328,4601,,,,Northbound Cliffridge Ave @ Sonora Dr South,0,BUS ZN
49.133583,56842,-123.155486,6907,,,,Westbound Steveston Hwy @ Housman St,0,BUS ZN
49.133577,56841,-123.1522,6906,,,,Westbound Steveston Hwy @ Constable Gate,0,BUS ZN
49.285693,60096,-122.791435,12239,,99932,,Lafarge Lake-Douglas Station @ Platform 2,0,ZN 3
49.133572,56840,-123.148504,6905,,,,Westbound Steveston Hwy @ Gilbert Rd,0,BUS ZN
49.285743,60095,-122.791623,12238,,99932,,Lafarge Lake-Douglas Station @ Platform 1,0,ZN 3
49.13515,56839,-123.147912,6904,,,,Southbound Gilbert Rd @ Kimberley Dr,0,BUS ZN
49.138498,56838,-123.147951,6903,,,,Southbound Gilbert Rd @ Bamberton Dr,0,BUS ZN
49.281495,58042,-123.026062,8139,,,,Kootenay Loop @ Bay 2,0,BUS ZN
49.225975,50151,-123.10147,151,,,,Northbound Main St @ E 49 Ave,0,BUS ZN
49.223638,50150,-123.101593,150,,,,Northbound Main St @ E 51 Ave,0,BUS ZN
49.228719,59842,-123.101386,152,,,,Northbound Main St @ E 46 Ave,0,BUS ZN
49.233445,50155,-123.101394,155,,,,Northbound Main St @ E 41 Ave,0,BUS ZN
49.231454,50154,-123.101306,154,,,,Northbound Main St @ E 43 Ave,0,BUS ZN
49.233269,50157,-123.106197,157,,,,Westbound W 41 Ave @ Ontario St,0,BUS ZN
49.233442,50158,-123.11122,158,,,,Westbound W 41 Ave @ Columbia St,0,BUS ZN
49.145755,56835,-123.147961,6900,,,,Southbound Gilbert Rd @ Broadmoor Blvd,0,BUS ZN
49.119126,56398,-122.846971,6459,,,,Westbound 64 Ave @ King George Blvd,0,BUS ZN
49.067484,56128,-122.82948,6187,,,,Westbound Crescent Rd @ Nico Wynd Dr,0,BUS ZN
49.066983,56127,-122.821933,6186,,,,Westbound Crescent Rd @ King George Blvd,0,BUS ZN
49.067106,56124,-122.827218,6183,,,,Eastbound Crescent Rd @ 142A St,0,BUS ZN
49.067301,56123,-122.833971,6182,,,,Eastbound Crescent Rd @ 140 St,0,BUS ZN
49.06425,56122,-122.842449,6181,,,,Eastbound Crescent Rd @ 13700 Block,0,BUS ZN
49.063488,56121,-122.844908,6180,,,,Eastbound Crescent Rd @ 136 St,0,BUS ZN
49.064522,56130,-122.841639,6189,,,,Westbound Crescent Rd @ 13700 Block,0,BUS ZN
49.06756,56129,-122.832903,6188,,,,Westbound Crescent Rd @ 140 St,0,BUS ZN
49.212271,52702,-123.009009,2727,,,,Westbound Portland St @ McKay Ave,0,BUS ZN
49.212239,52701,-123.005792,2726,,,,Westbound Portland St @ Sussex Ave,0,BUS ZN
49.21459,52700,-123.004999,2725,,,,Southbound Sussex Ave @ Rumble St,0,BUS ZN
49.216133,52699,-123.005029,2724,,,,Southbound Sussex Ave @ Irmin St,0,BUS ZN
49.218151,52698,-123.005074,2723,,,,Southbound Sussex Ave @ Victory St,0,BUS ZN
49.220021,52697,-123.005099,2722,,,,Southbound Sussex Ave @ Hurst St,0,BUS ZN
49.221363,52696,-123.005145,2721,,,,Southbound Sussex Ave @ Imperial St,0,BUS ZN
49.222001,52695,-123.003694,2720,,,,Westbound Imperial St @ Dow Ave,0,BUS ZN
49.21108,52703,-123.012496,2728,,,,Southbound Patterson Ave @ Winnifred St,0,BUS ZN
49.227406,57870,-122.464168,7944,,,,Southbound McNutt Rd @ 12200 Block (Flag),0,BUS ZN
49.221215,57871,-122.467589,7945,,,,Southbound McNutt Rd @ 12000 Block (Flag),0,BUS ZN
49.220182,57872,-122.477466,7946,,,,Westbound Dewdney Trunk Rd @ 26900 Block (Flag),0,BUS ZN
49.220304,59623,-122.4932,7947,,,,Westbound Dewdney Trunk Rd @ 26300 Block,0,BUS ZN
49.218794,57866,-122.458483,7940,,,,Northbound 272 St @ 11900 Block (Flag),0,BUS ZN
49.222516,57867,-122.460555,7941,,,,Northbound On Garibaldi St @ 12000 Block (Flag),0,BUS ZN
49.220113,59775,-122.590426,10378,,,,Southbound 228 St @ Dewdney Trunk Rd,0,BUS ZN
49.108571,59794,-122.735851,10379,,,,Northbound Cloverdale Bypass @ 58 Ave,0,BUS ZN
49.212629,59780,-123.012493,10376,,,,Southbound Patterson Ave @ Clinton St,0,BUS ZN
49.213596,59649,-122.660143,10377,,,,Westbound Hammond Rd @ 20200 Block,0,BUS ZN
49.265799,60825,-123.079054,10374,,99916,,VCC-Clark Station @ Platform 2,0,ZN 1
49.265873,60824,-123.079049,10375,,99916,,VCC-Clark Station @ Platform 1,0,ZN 1
49.220444,57874,-122.501411,7948,,,,Westbound Dewdney Trunk Rd @ 26000 Block (Flag),0,BUS ZN
49.203898,59783,-123.023178,10371,,,,Northbound Boundary Rd @ E Kent Ave North,0,BUS ZN
49.285967,59565,-122.79157,12208,,,,Lafarge Lake-Douglas Station @ Bay 1,0,BUS ZN
49.261403,59554,-122.889518,12209,,,,Burquitlam Station @ Bay 1,0,BUS ZN
49.263652,53057,-122.874696,3089,,,,Westbound Como Lake Ave @ Townley St,0,BUS ZN
49.162902,58731,-122.656106,12204,,,,Westbound 88 Ave @ 204 St,0,BUS ZN
49.038408,59478,-123.079603,12205,,,,Northbound 52 St @ Hwy 17,0,BUS ZN
49.041832,59485,-123.079659,12206,,,,Northbound 52 St @ Canoe Pass Way,0,BUS ZN
