latitude,property_type,room_type,accommodates,bedrooms,beds,bbq,tv,white_goods,bathrooms_type,bathrooms_number,bus_radius,within_radius,average_nearest_price,longitude
49.2743,1,0,4,2.0,2.0,0.0,1.0,1.0,2,1.0,0,0,1794200.0,-123.15123
49.24554,3,0,5,2.0,4.0,0.0,1.0,0.0,2,1.0,0,0,1991000.0,-123.09304
49.27087,5,0,2,1.0,1.0,0.0,1.0,0.0,2,1.0,0,0,897000.0,-123.16124
49.27816,5,0,4,2.0,3.0,0.0,0.0,1.0,2,1.0,1,1,617620.0,-123.12889
49.21139,10,2,2,1.0,1.0,0.0,1.0,1.0,0,1.0,0,0,2629380.0,-123.14682
49.25681686401367,1,0,4,2.0,3.0,0.0,1.0,1.0,2,1.0,0,0,3504200.0,-123.1409149169922
49.217,3,0,8,4.0,5.0,1.0,1.0,1.0,2,2.0,0,0,1622620.0,-123.09479
49.26599,1,0,2,1.0,1.0,0.0,1.0,0.0,2,1.0,0,0,1679900.0,-123.04154
49.26797,3,0,4,2.0,2.0,0.0,1.0,1.0,2,2.0,0,0,1139600.0,-123.17143
49.26587,0,0,5,1.0,2.0,1.0,1.0,1.0,2,1.0,1,1,591800.0,-123.0999
49.28076,0,0,4,1.0,3.0,0.0,1.0,1.0,2,1.0,1,1,704000.0,-123.12433
49.28185,4,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,1,1,2096721.2,-123.10456
49.27822,0,0,5,1.0,5.0,0.0,1.0,1.0,2,1.0,1,1,1271000.0,-123.10869
49.26969,0,0,3,2.0,3.0,0.0,1.0,1.0,2,1.0,1,1,1167000.4,-123.10193
49.27663,0,0,2,2.0,3.0,0.0,1.0,1.0,2,2.0,1,1,450200.0,-123.12775
49.26089,5,0,4,1.0,2.0,1.0,1.0,1.0,2,1.0,1,1,3910080.0,-123.10111
49.28295,4,0,3,1.0,1.0,0.0,1.0,1.0,2,1.5,1,1,598000.0,-123.10105
49.26353,12,2,2,1.0,1.0,0.0,1.0,1.0,2,1.5,0,0,1382300.0,-123.05137
49.27868,0,0,6,1.0,4.0,0.0,1.0,1.0,2,1.0,1,1,720200.0,-123.10592
49.23473,8,2,2,1.0,1.0,0.0,1.0,0.0,0,1.0,0,0,1446800.0,-123.03126
49.28628,0,0,5,2.0,3.0,0.0,1.0,1.0,2,2.5,1,1,4139800.0,-123.12443
49.27788,1,0,2,1.0,2.0,0.0,1.0,0.0,2,1.0,1,0,1134400.0,-123.09358
49.27838,5,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,1,1,681000.0,-123.11456
49.24944,10,2,2,1.0,1.0,0.0,0.0,1.0,1,1.0,1,0,2569540.0,-123.11123
49.26583,2,0,4,2.0,2.0,0.0,1.0,1.0,2,1.0,0,0,1445980.0,-123.03803
49.26845,0,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,0,1,869400.0,-123.09534
49.2791,0,0,6,2.0,2.0,0.0,1.0,1.0,2,2.0,1,1,1014520.0,-123.11001
49.26564,0,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,1,1,2986220.0,-123.10106
49.25659,3,0,4,2.0,2.0,0.0,1.0,0.0,2,1.0,1,0,888400.0,-123.1194
49.2468,10,2,1,1.0,1.0,0.0,1.0,1.0,1,3.0,0,0,3493640.0,-123.16088
49.278350830078125,6,0,6,2.0,3.0,1.0,1.0,1.0,2,2.0,1,1,591800.0,-123.1224136352539
49.27925,3,0,4,2.0,2.0,0.0,1.0,1.0,2,1.0,0,1,486600.0,-123.08814
49.25291,1,0,4,2.0,2.0,0.0,1.0,1.0,2,1.0,0,0,2443940.0,-123.11915
49.26431,5,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,1,1,689580.0,-123.12104
49.27304,12,2,2,1.0,1.0,0.0,1.0,1.0,2,1.5,1,0,1692800.0,-123.12713
49.2728,1,0,4,1.0,1.0,0.0,1.0,0.0,2,1.0,0,1,1337420.0,-123.07355
49.29069,8,0,4,2.0,2.0,1.0,1.0,1.0,2,1.0,0,0,1747200.0,-123.05507
49.29436,0,0,2,1.0,2.0,0.0,0.0,1.0,2,1.0,1,0,2635400.0,-123.13416
49.27533,0,0,4,2.0,2.0,0.0,0.0,1.0,2,2.0,1,0,757600.0,-123.11453
49.28561,5,0,4,1.0,1.0,0.0,1.0,1.0,2,1.0,0,1,893400.0,-123.13237
49.24687,10,2,2,1.0,1.0,1.0,1.0,1.0,0,1.0,0,0,3493640.0,-123.16086
49.27888,3,0,6,2.0,3.0,1.0,1.0,1.0,2,1.0,0,0,1493720.0,-123.06297
49.28048,5,0,3,1.0,2.0,0.0,1.0,1.0,2,1.0,1,1,625280.0,-123.1265
49.28384,0,0,2,1.0,1.0,1.0,1.0,1.0,2,1.0,1,0,775200.0,-123.12371
49.23748,3,0,3,1.0,2.0,0.0,1.0,1.0,2,1.0,0,0,1637700.0,-123.08735
49.28272,0,0,4,2.0,2.0,0.0,1.0,1.0,2,1.0,1,1,567040.0,-123.13286
49.26045,0,0,1,1.0,1.0,0.0,1.0,1.0,2,1.0,1,0,4116000.0,-123.12819
49.281,0,0,4,2.0,3.0,0.0,1.0,1.0,2,1.0,1,1,717400.0,-123.10746
49.23102,2,0,2,1.0,1.0,0.0,0.0,0.0,2,1.0,0,0,1345840.0,-123.0791
49.26946,0,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,1,1,3422160.0,-123.10095
49.2673,3,0,6,3.0,3.0,0.0,1.0,1.0,2,1.0,1,1,2296600.0,-123.15818
49.2458877,10,2,1,1.0,1.0,1.0,0.0,1.0,1,1.0,1,0,1480400.0,-123.1168432
49.29011,7,0,6,2.0,3.0,0.0,1.0,1.0,2,2.0,1,0,651080.0,-123.13916
49.27937,5,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,1,1,725600.0,-123.12765
49.28047,5,0,3,1.0,2.0,0.0,1.0,1.0,2,1.0,1,1,702200.0,-123.10725
49.27973,1,0,2,1.0,1.0,0.0,1.0,0.0,2,1.0,0,1,2282280.0,-123.07267
49.25446,3,0,4,1.0,2.0,1.0,1.0,0.0,2,1.5,1,0,1287900.0,-123.08276
49.2633,3,0,4,2.0,4.0,0.0,1.0,1.0,2,1.0,1,0,1037200.0,-123.14727
49.26823,3,0,6,3.0,4.0,0.0,1.0,1.0,2,2.0,1,0,1236200.0,-123.16443
49.29103,3,0,3,2.0,2.0,1.0,1.0,1.0,2,1.0,0,0,2291420.0,-123.05782
49.28344,0,0,4,2.0,2.0,1.0,1.0,1.0,2,1.0,1,1,2473060.0,-123.10905
49.25595,3,0,5,4.0,3.0,1.0,1.0,1.0,2,2.0,0,0,1609580.0,-123.07807
49.28317,0,0,4,1.0,1.0,1.0,1.0,1.0,2,1.0,0,1,1954160.0,-123.08406
49.27867,0,0,5,2.0,3.0,0.0,1.0,1.0,2,2.0,1,1,1192600.0,-123.10998
49.25898,1,0,2,1.0,1.0,0.0,1.0,0.0,2,1.0,1,1,2452560.0,-123.06895
49.27776,5,0,2,1.0,2.0,0.0,0.0,1.0,2,1.0,1,0,1382400.0,-123.13631
49.27955,0,0,2,1.0,1.0,0.0,0.0,1.0,2,1.0,1,1,606000.0,-123.12056
49.23854,7,0,6,3.0,4.0,1.0,1.0,1.0,2,2.0,1,0,1239660.0,-123.05431
49.2789066,0,0,5,3.0,2.0,0.0,1.0,1.0,2,2.0,1,1,962801.2,-123.1079972
49.25693,7,0,4,2.0,3.0,0.0,1.0,1.0,2,1.0,0,0,2221960.0,-123.11179
49.27545,0,0,3,1.0,2.0,0.0,1.0,1.0,2,1.0,1,1,921400.0,-123.12869
49.28307,0,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,1,1,753200.0,-123.12555
49.27894,0,0,2,1.0,1.0,0.0,0.0,1.0,2,1.0,1,1,864600.0,-123.10754
49.25521,1,0,4,2.0,3.0,1.0,1.0,0.0,2,1.0,1,1,2075120.0,-123.09996
49.27968,0,0,5,2.0,2.0,0.0,1.0,1.0,2,1.5,1,1,1518400.0,-123.10883
49.27585,3,0,5,2.0,2.0,0.0,1.0,1.0,2,1.0,1,0,1608320.0,-123.05692
49.25886,5,0,4,2.0,3.0,0.0,1.0,1.0,2,2.0,0,0,1366600.0,-123.10898
49.23775,1,0,4,2.0,2.0,0.0,1.0,1.0,2,1.0,0,0,3183400.0,-123.11017
49.278687,0,0,5,2.0,2.0,0.0,1.0,1.0,2,1.0,1,0,842400.0,-123.10746
49.27387,0,0,2,1.0,2.0,0.0,1.0,1.0,2,1.0,0,0,1481400.0,-123.13053
49.25277,3,0,7,4.0,5.0,1.0,1.0,1.0,2,3.0,0,0,1340240.0,-123.03774
49.27011,0,0,4,2.0,2.0,0.0,1.0,1.0,2,2.0,1,1,588820.0,-123.14099
49.26746,7,0,4,2.0,2.0,0.0,1.0,0.0,2,2.0,1,1,1119140.0,-123.12785
49.22852,1,0,4,2.0,2.0,0.0,1.0,0.0,2,1.0,0,0,1654220.0,-123.06424
49.2695,0,0,3,1.0,1.0,0.0,1.0,1.0,2,1.0,1,1,1167000.4,-123.10201
49.27862,8,2,6,2.0,2.0,0.0,1.0,0.0,2,2.0,0,1,718000.0,-123.11925
49.27383,0,0,3,1.0,1.0,0.0,1.0,1.0,2,1.0,1,0,907400.0,-123.11319
49.282501,4,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,1,1,613760.0,-123.103249
49.27547,0,0,3,1.0,2.0,0.0,1.0,1.0,2,1.0,1,1,921400.0,-123.12861
49.272854499014,3,0,6,3.0,4.0,0.0,1.0,1.0,2,2.0,0,0,1286580.0,-123.02815181189428
49.280006,0,0,4,2.0,3.0,0.0,1.0,1.0,2,1.0,1,1,877800.0,-123.108253
49.26059,1,0,4,2.0,2.0,1.0,1.0,0.0,2,1.0,0,0,1687140.0,-123.08626
49.25533,3,0,2,1.0,1.0,1.0,1.0,0.0,2,1.0,0,0,1719320.0,-123.02464
49.27949,0,0,5,2.0,2.0,0.0,1.0,1.0,2,2.0,1,1,777000.0,-123.10711
49.24975,3,0,6,2.0,3.0,0.0,0.0,1.0,2,1.0,1,1,1700620.0,-123.10195
49.29053,11,2,1,1.0,1.0,0.0,0.0,1.0,1,1.0,1,1,637100.0,-123.13676
49.24996,5,0,4,1.0,2.0,0.0,1.0,1.0,2,1.0,0,0,1464600.0,-123.08181
49.2719,5,0,4,2.0,2.0,0.0,1.0,0.0,2,1.0,0,0,1957000.0,-123.15043
49.24574,1,0,5,2.0,2.0,0.0,0.0,0.0,2,1.0,0,0,1707040.0,-123.02553
49.23638,3,0,5,2.0,3.0,0.0,1.0,1.0,2,1.0,0,0,2407620.0,-123.10714
49.28555679321289,0,0,3,1.0,1.0,0.0,1.0,1.0,2,1.0,1,1,1674000.0,-123.12384796142578
49.27999339797515,0,0,3,1.0,1.0,0.0,1.0,1.0,2,1.0,1,1,1809000.0,-123.12902673960144
49.28046,0,0,4,2.0,2.0,0.0,1.0,1.0,2,2.0,1,1,1815200.0,-123.12091
49.27589,0,0,4,2.0,2.0,0.0,1.0,1.0,2,1.0,1,1,983200.0,-123.12813
49.22671,10,2,2,1.0,1.0,0.0,0.0,1.0,1,1.0,1,0,3163580.0,-123.11416
49.28021,4,0,4,2.0,3.0,0.0,1.0,1.0,2,1.0,1,0,2658280.0,-123.13204
49.226310712246,3,0,6,3.0,3.0,0.0,1.0,0.0,2,2.5,1,0,1438300.0,-123.09835731983183
49.22845,10,2,2,1.0,2.0,0.0,0.0,1.0,1,1.0,0,1,2409960.0,-123.11504
49.25533,3,0,4,2.0,2.0,0.0,1.0,1.0,2,1.5,0,0,1413500.0,-123.10414
49.2324,5,0,3,2.0,2.0,0.0,1.0,1.0,2,1.0,0,1,1050800.0,-123.15844
49.24531,3,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,0,0,1830080.0,-123.09533
49.28123,0,0,4,2.0,2.0,0.0,1.0,1.0,2,2.0,1,1,549500.0,-123.12559
49.27527,0,0,2,1.0,1.0,1.0,1.0,1.0,2,1.0,1,0,679000.0,-123.12749
49.28186,5,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,1,1,1793280.0,-123.10771
49.27905,5,0,5,2.0,2.0,0.0,1.0,1.0,2,2.0,1,1,930000.0,-123.10784
49.26545,5,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,1,1,1615760.0,-123.18254
49.27929,0,0,4,2.0,2.0,0.0,1.0,1.0,2,2.0,1,1,1884220.0,-123.12685
49.28797,5,0,4,2.0,2.0,0.0,1.0,1.0,2,2.0,1,0,1175800.0,-123.12613
49.28,5,0,6,2.0,3.0,0.0,1.0,1.0,2,2.0,1,1,747000.0,-123.10786
49.27747,0,0,4,1.0,2.0,0.0,1.0,1.0,2,1.0,1,1,813000.0,-123.09852
49.26731,1,0,4,2.0,2.0,0.0,1.0,0.0,2,1.0,1,1,2775520.0,-123.06909
49.24373,10,2,2,1.0,1.0,0.0,0.0,1.0,1,1.0,1,1,1342120.0,-123.04979
49.2524,3,0,10,4.0,6.0,1.0,1.0,1.0,2,2.5,0,0,2183600.0,-123.10314
49.27453,5,0,4,1.0,2.0,0.0,1.0,1.0,2,1.0,1,0,902800.0,-123.1166
49.27672,5,0,4,2.0,2.0,1.0,1.0,1.0,2,1.0,1,0,980200.0,-123.1347
49.20685,9,2,1,1.0,1.0,0.0,1.0,1.0,0,1.0,0,0,674800.0,-123.03206
49.25976,0,0,4,2.0,2.0,0.0,1.0,1.0,2,1.5,1,0,1275520.0,-123.12793
49.28666,0,0,2,1.0,1.0,0.0,1.0,1.0,2,1.0,1,1,768400.0,-123.12343
49.24946,3,0,4,3.0,3.0,1.0,1.0,1.0,2,1.5,1,0,1289720.0,-123.06599
49.23981868242928,0,0,3,1.0,1.0,0.0,1.0,1.0,2,1.0,1,0,2708720.0,-123.1183136254549
49.26288,5,0,5,2.0,2.0,0.0,1.0,1.0,2,1.0,1,0,1837360.0,-123.06293
49.27988,0,0,4,2.0,2.0,0.0,1.0,1.0,2,2.0,1,1,913201.2,-123.10772
49.26239,1,0,5,3.0,3.0,0.0,1.0,0.0,2,1.0,1,0,511120.0,-123.07531
49.27042,3,0,5,2.0,3.0,0.0,1.0,1.0,2,2.0,0,0,1824540.0,-123.04243
49.22663,1,0,5,3.0,3.0,0.0,0.0,1.0,2,1.0,1,0,3163580.0,-123.1138
49.27807235717773,6,0,4,1.0,2.0,1.0,1.0,1.0,2,1.0,1,1,926000.0,-123.12232971191406
49.27926,0,0,4,1.0,2.0,0.0,1.0,1.0,2,1.0,1,1,3049800.0,-123.09824
49.28531,8,2,2,1.0,1.0,0.0,1.0,0.0,2,1.0,1,1,1831260.0,-123.06652
49.279213,4,0,4,1.0,2.0,1.0,1.0,1.0,2,1.0,1,1,953600.0,-123.121483
49.26566,5,0,3,1.0,1.0,0.0,0.0,1.0,2,1.0,0,1,1978700.0,-123.18372
49.24255,3,0,7,3.0,4.0,1.0,1.0,1.0,2,2.0,1,0,4076800.0,-123.11952
49.25333,0,0,3,1.0,1.0,0.0,1.0,1.0,2,1.0,1,0,2538600.0,-123.12648
49.28024,0,0,2,1.0,1.0,1.0,1.0,1.0,2,1.0,1,1,1498800.0,-123.11693
49.20999,3,0,13,5.0,7.0,0.0,1.0,1.0,2,4.0,0,0,3281800.0,-123.14678
